"BusinessEntityID","CreditCardID","ModifiedDate"
"293","17038","7/31/2013 12:00:00 AM"
"295","15369","8/1/2011 12:00:00 AM"
"297","8010","8/1/2011 12:00:00 AM"
"299","5316","7/31/2013 12:00:00 AM"
"301","6653","5/31/2011 12:00:00 AM"
"303","9010","7/31/2012 12:00:00 AM"
"305","8937","5/31/2011 12:00:00 AM"
"307","16124","10/30/2012 12:00:00 AM"
"309","9478","7/1/2011 12:00:00 AM"
"311","17600","8/1/2011 12:00:00 AM"
"313","1970","6/30/2013 12:00:00 AM"
"315","8274","7/31/2013 12:00:00 AM"
"317","13045","5/31/2011 12:00:00 AM"
"319","13601","8/1/2011 12:00:00 AM"
"323","5958","7/31/2012 12:00:00 AM"
"325","10709","5/30/2012 12:00:00 AM"
"327","126","7/31/2013 12:00:00 AM"
"329","6626","5/30/2013 12:00:00 AM"
"331","14963","6/30/2012 12:00:00 AM"
"333","18100","8/1/2011 12:00:00 AM"
"335","12823","3/30/2013 12:00:00 AM"
"337","11434","6/30/2013 12:00:00 AM"
"339","13160","7/1/2011 12:00:00 AM"
"341","3787","10/31/2011 12:00:00 AM"
"343","8979","7/1/2011 12:00:00 AM"
"345","14729","7/1/2011 12:00:00 AM"
"347","6264","7/1/2011 12:00:00 AM"
"349","2273","7/31/2013 12:00:00 AM"
"351","18154","6/30/2012 12:00:00 AM"
"353","18257","7/31/2013 12:00:00 AM"
"355","14184","7/1/2011 12:00:00 AM"
"357","11472","6/30/2013 12:00:00 AM"
"359","10785","6/30/2013 12:00:00 AM"
"361","4215","8/1/2011 12:00:00 AM"
"363","2396","6/30/2013 12:00:00 AM"
"365","4983","5/30/2012 12:00:00 AM"
"367","1660","7/1/2011 12:00:00 AM"
"369","17861","7/1/2011 12:00:00 AM"
"371","15321","7/1/2011 12:00:00 AM"
"373","3756","6/30/2013 12:00:00 AM"
"375","14486","8/1/2011 12:00:00 AM"
"377","16441","6/30/2013 12:00:00 AM"
"379","10338","7/31/2013 12:00:00 AM"
"381","4173","7/31/2012 12:00:00 AM"
"383","18570","7/31/2013 12:00:00 AM"
"385","9102","7/31/2012 12:00:00 AM"
"387","626","10/31/2011 12:00:00 AM"
"389","5409","8/30/2012 12:00:00 AM"
"391","2337","5/31/2011 12:00:00 AM"
"393","5262","7/31/2013 12:00:00 AM"
"397","6272","7/31/2012 12:00:00 AM"
"405","11945","10/30/2012 12:00:00 AM"
"407","14938","7/31/2013 12:00:00 AM"
"409","6306","6/30/2013 12:00:00 AM"
"411","181","7/1/2011 12:00:00 AM"
"413","17315","6/30/2012 12:00:00 AM"
"417","13667","10/1/2011 12:00:00 AM"
"419","12491","6/30/2013 12:00:00 AM"
"421","18295","6/30/2012 12:00:00 AM"
"427","12189","6/30/2012 12:00:00 AM"
"429","16173","2/28/2013 12:00:00 AM"
"431","10057","7/31/2012 12:00:00 AM"
"435","10187","6/30/2013 12:00:00 AM"
"437","5528","7/1/2011 12:00:00 AM"
"439","7083","5/31/2011 12:00:00 AM"
"441","12492","7/31/2013 12:00:00 AM"
"443","7657","7/31/2013 12:00:00 AM"
"445","1977","7/31/2013 12:00:00 AM"
"449","9647","7/31/2013 12:00:00 AM"
"451","1684","10/1/2011 12:00:00 AM"
"453","1163","10/1/2011 12:00:00 AM"
"455","11087","6/30/2013 12:00:00 AM"
"463","3513","7/31/2013 12:00:00 AM"
"465","11282","7/1/2011 12:00:00 AM"
"471","14489","7/31/2012 12:00:00 AM"
"473","9772","6/30/2012 12:00:00 AM"
"475","7777","6/30/2013 12:00:00 AM"
"477","7293","8/1/2011 12:00:00 AM"
"479","14814","7/31/2013 12:00:00 AM"
"481","10832","6/30/2013 12:00:00 AM"
"483","4322","5/31/2011 12:00:00 AM"
"487","18017","5/31/2011 12:00:00 AM"
"489","7527","6/30/2013 12:00:00 AM"
"491","9458","7/31/2012 12:00:00 AM"
"493","13917","7/1/2011 12:00:00 AM"
"495","242","5/31/2011 12:00:00 AM"
"497","14363","7/1/2011 12:00:00 AM"
"501","17699","7/31/2013 12:00:00 AM"
"503","8394","7/31/2012 12:00:00 AM"
"505","3490","7/31/2012 12:00:00 AM"
"507","12316","6/30/2013 12:00:00 AM"
"509","6442","7/31/2012 12:00:00 AM"
"511","319","8/1/2011 12:00:00 AM"
"513","6920","8/30/2013 12:00:00 AM"
"515","12857","7/31/2012 12:00:00 AM"
"517","15232","5/31/2011 12:00:00 AM"
"519","4524","8/1/2011 12:00:00 AM"
"521","1359","7/1/2011 12:00:00 AM"
"523","4789","10/1/2011 12:00:00 AM"
"525","1803","7/31/2012 12:00:00 AM"
"527","972","10/1/2011 12:00:00 AM"
"531","16467","6/30/2013 12:00:00 AM"
"533","1906","5/30/2012 12:00:00 AM"
"535","15842","10/1/2011 12:00:00 AM"
"537","17164","5/30/2013 12:00:00 AM"
"539","1308","6/30/2012 12:00:00 AM"
"541","3392","5/30/2013 12:00:00 AM"
"543","17368","8/1/2011 12:00:00 AM"
"545","8522","6/30/2012 12:00:00 AM"
"547","6340","5/30/2012 12:00:00 AM"
"549","16065","5/30/2013 12:00:00 AM"
"551","19204","5/31/2011 12:00:00 AM"
"553","15195","6/30/2013 12:00:00 AM"
"555","15487","6/30/2012 12:00:00 AM"
"557","4052","5/30/2012 12:00:00 AM"
"559","2741","7/31/2012 12:00:00 AM"
"561","3318","6/30/2012 12:00:00 AM"
"563","11110","5/30/2013 12:00:00 AM"
"565","17281","7/31/2013 12:00:00 AM"
"567","18868","5/30/2012 12:00:00 AM"
"569","16021","5/30/2012 12:00:00 AM"
