"ProductID","StartDate","EndDate","ListPrice","ModifiedDate"
"707","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","33.6442","5/29/2012 12:00:00 AM"
"707","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","33.6442","5/29/2013 12:00:00 AM"
"707","5/30/2013 12:00:00 AM","","34.9900","5/9/2013 12:00:00 AM"
"708","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","33.6442","5/29/2012 12:00:00 AM"
"708","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","33.6442","5/29/2013 12:00:00 AM"
"708","5/30/2013 12:00:00 AM","","34.9900","5/9/2013 12:00:00 AM"
"709","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","9.5000","5/29/2012 12:00:00 AM"
"710","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","9.5000","5/29/2012 12:00:00 AM"
"711","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","33.6442","5/29/2012 12:00:00 AM"
"711","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","33.6442","5/29/2013 12:00:00 AM"
"711","5/30/2013 12:00:00 AM","","34.9900","5/9/2013 12:00:00 AM"
"712","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","8.6442","5/29/2012 12:00:00 AM"
"712","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","8.6442","5/29/2013 12:00:00 AM"
"712","5/30/2013 12:00:00 AM","","8.9900","5/9/2013 12:00:00 AM"
"713","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","48.0673","5/29/2012 12:00:00 AM"
"713","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","48.0673","5/29/2013 12:00:00 AM"
"713","5/30/2013 12:00:00 AM","","49.9900","5/9/2013 12:00:00 AM"
"714","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","48.0673","5/29/2012 12:00:00 AM"
