"BusinessEntityID","TerritoryID","StartDate","EndDate","rowguid","ModifiedDate"
"275","2","5/31/2011 12:00:00 AM","11/29/2012 12:00:00 AM","8563ce6a-00ff-47d7-ba4d-3c3e1cdef531","11/22/2012 12:00:00 AM"
"275","3","11/30/2012 12:00:00 AM","","2f44304c-ee87-4c72-813e-ca75c5f61f4c","11/23/2012 12:00:00 AM"
"276","4","5/31/2011 12:00:00 AM","","64bcb1b3-a793-40ba-9859-d90f78c3f167","5/24/2011 12:00:00 AM"
"277","3","5/31/2011 12:00:00 AM","11/29/2012 12:00:00 AM","3e9f893d-5142-46c9-a76a-867d1e3d6f90","11/22/2012 12:00:00 AM"
"277","2","11/30/2012 12:00:00 AM","","132e4721-32dd-4a73-b556-1837f3a2b9ae","11/23/2012 12:00:00 AM"
"278","6","5/31/2011 12:00:00 AM","","b7c8f9f5-5fb8-47b3-be73-1b9a14bdf8b9","5/24/2011 12:00:00 AM"
"279","5","5/31/2011 12:00:00 AM","","57d1cdcf-62ce-499f-8be8-1bb71c4bb7ef","5/24/2011 12:00:00 AM"
"280","1","5/31/2011 12:00:00 AM","9/29/2012 12:00:00 AM","fd3f5566-10e2-4960-be12-0365e5665881","9/22/2012 12:00:00 AM"
"281","4","5/31/2011 12:00:00 AM","","9d8754b2-c320-40db-a77f-ff5a1bc0f46b","5/24/2011 12:00:00 AM"
"282","6","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","2c9f5240-d8bf-4f85-897d-6083146dbc4b","5/22/2012 12:00:00 AM"
"282","10","5/30/2012 12:00:00 AM","","92375465-38c6-4c86-aba1-9838a2969475","5/23/2012 12:00:00 AM"
"283","1","5/31/2011 12:00:00 AM","","009f7660-44a6-4adf-bd4b-a5d1b79993f5","5/24/2011 12:00:00 AM"
"284","1","9/30/2012 12:00:00 AM","","ed12f921-8023-48ef-84bd-94d942f4c009","9/23/2012 12:00:00 AM"
"286","9","5/30/2013 12:00:00 AM","","d664d989-2beb-4f2c-a4aa-691018965283","5/23/2013 12:00:00 AM"
"288","8","5/30/2013 12:00:00 AM","","3e1360cb-32e0-4286-8d98-8539f1ab2550","5/23/2013 12:00:00 AM"
"289","6","5/30/2012 12:00:00 AM","","987613ed-33d6-42a6-b992-0b33e9234934","5/23/2012 12:00:00 AM"
"290","7","5/30/2012 12:00:00 AM","","8895e74d-6d38-4140-bbea-a8136a2f480e","5/23/2012 12:00:00 AM"
