"BusinessEntityID","AccountNumber","Name","CreditRating","PreferredVendorStatus","ActiveFlag","PurchasingWebServiceURL","ModifiedDate"
"1492","AUSTRALI0001","Australia Bike Retailer","1","True","True","","12/23/2011 12:00:00 AM"
"1494","ALLENSON0001","Allenson Cycles","2","True","True","","4/25/2011 12:00:00 AM"
"1496","ADVANCED0001","Advanced Bicycles","1","True","True","","4/25/2011 12:00:00 AM"
"1498","TRIKES0001","Trikes, Inc.","2","True","True","","2/3/2012 12:00:00 AM"
"1500","MORGANB0001","Morgan Bike Accessories","1","True","True","","2/2/2012 12:00:00 AM"
"1502","CYCLING0001","Cycling Master","1","True","True","","12/24/2011 12:00:00 AM"
"1504","CHICAGO0002","Chicago Rent-All","2","True","True","","12/24/2011 12:00:00 AM"
"1506","GREENWOO0001","Greenwood Athletic Company","1","True","True","","1/25/2012 12:00:00 AM"
"1508","COMPETE0001","Compete Enterprises, Inc","1","True","True","","12/24/2011 12:00:00 AM"
"1510","INTERNAT0001","International","1","True","True","","1/25/2012 12:00:00 AM"
"1512","LIGHTSP0001","Light Speed","1","True","True","","12/23/2011 12:00:00 AM"
"1514","TRAINING0001","Training Systems","1","True","True","","2/3/2012 12:00:00 AM"
"1516","GARDNER0001","Gardner Touring Cycles","1","False","False","","1/25/2012 12:00:00 AM"
"1518","INTERNAT0004","International Trek Center","1","True","True","","12/24/2011 12:00:00 AM"
"1520","G&KBI0001","G & K Bicycle Corp.","1","True","True","","12/24/2011 12:00:00 AM"
"1522","FIRSTNA0001","First National Sport Co.","1","True","True","","1/25/2012 12:00:00 AM"
"1524","RECREATI0001","Recreation Place","4","True","True","","2/2/2012 12:00:00 AM"
"1526","INTERNAT0002","International Bicycles","1","True","True","","1/25/2012 12:00:00 AM"
"1528","IMAGEMA0001","Image Makers Bike Center","1","True","True","","2/3/2012 12:00:00 AM"
"1530","COMFORT0001","Comfort Road Bicycles","1","True","True","","12/24/2011 12:00:00 AM"
"1532","KNOPFLER0001","Knopfler Cycles","1","True","True","","1/29/2012 12:00:00 AM"
"1534","READYRE0001","Ready Rentals","1","True","True","","2/2/2012 12:00:00 AM"
"1536","CRUGERB0001","Cruger Bike Company","1","True","True","","1/17/2012 12:00:00 AM"
"1538","VISTARO0001","Vista Road Bikes","3","True","True","","2/18/2012 12:00:00 AM"
"1540","BERGERON0001","Bergeron Off-Roads","1","True","True","","12/23/2011 12:00:00 AM"
"1542","HILLSBI0001","Hill's Bicycle Service","1","True","True","","1/25/2012 12:00:00 AM"
"1544","CIRCUIT0001","Circuit Cycles","1","False","False","","12/24/2011 12:00:00 AM"
"1546","GREENLA0001","Green Lake Bike Company","1","True","True","","1/29/2012 12:00:00 AM"
"1548","CONSUMER0001","Consumer Cycles","3","True","True","","12/24/2011 12:00:00 AM"
"1550","MERITBI0001","Merit Bikes","5","True","True","","2/3/2012 12:00:00 AM"
"1552","SPORTSH0001","Sports House","1","True","True","","1/25/2012 12:00:00 AM"
"1554","WESTAMER0001","WestAmerica Bicycle Co.","1","False","True","","2/18/2012 12:00:00 AM"
"1556","WESTJUN0001","West Junction Cycles","1","True","True","","2/18/2012 12:00:00 AM"
"1558","MARSH0001","Marsh","1","True","True","","2/3/2012 12:00:00 AM"
"1560","CAPITAL0001","Capital Road Cycles","1","True","True","","12/24/2011 12:00:00 AM"
"1562","NORSTAN0001","Norstan Bike Hut","1","True","True","","2/2/2012 12:00:00 AM"
"1564","ILLINOIS0001","Illinois Trek & Clothing","1","True","True","","12/23/2011 12:00:00 AM"
"1566","BURNETT0001","Burnett Road Warriors","1","True","True","","12/23/2011 12:00:00 AM"
"1568","CUSTOMF0001","Custom Frames, Inc.","2","True","True","","1/17/2012 12:00:00 AM"
"1570","FIRSTRA0001","First Rate Bicycles","1","True","True","","1/25/2012 12:00:00 AM"
"1572","NATIONAL0001","National Bike Association","1","True","True","","2/2/2012 12:00:00 AM"
"1574","JEFFSSP0001","Jeff's Sporting Goods","1","True","True","","12/24/2011 12:00:00 AM"
"1576","SUPERIOR0001","Superior Bicycles","1","True","True","","2/3/2012 12:00:00 AM"
"1578","VISIONC0001","Vision Cycles, Inc.","1","False","True","","2/18/2012 12:00:00 AM"
"1580","LITWARE0001","Litware, Inc.","1","True","True","www.litwareinc.com/","4/25/2011 12:00:00 AM"
"1582","INNERCI0001","Inner City Bikes","3","True","True","","1/25/2012 12:00:00 AM"
"1584","TREYRE0001","Trey Research","3","True","True","www.treyresearch.net/","1/25/2012 12:00:00 AM"
"1586","MITCHELL0001","Mitchell Sports","1","True","True","","2/2/2012 12:00:00 AM"
"1588","SIGNATUR0001","Signature Cycles","2","True","True","","2/2/2012 12:00:00 AM"
"1590","SUPERSAL0001","SUPERSALES INC.","1","True","True","","2/3/2012 12:00:00 AM"
"1592","LINDELL0001","Lindell","1","True","True","","1/29/2012 12:00:00 AM"
"1594","FITNESS0001","Fitness Association","1","True","True","","2/3/2012 12:00:00 AM"
"1596","ADATUM0001","A. Datum Corporation","1","True","True","www.adatum.com/","12/24/2011 12:00:00 AM"
"1598","CONTINEN0001","Continental Pro Cycles","3","True","True","","12/24/2011 12:00:00 AM"
"1600","FEDERAL0001","Federal Sport","3","True","True","","1/25/2012 12:00:00 AM"
"1602","BEAUMONT0001","Beaumont Bikes","1","False","True","","12/23/2011 12:00:00 AM"
"1604","BIKESAT0001","Bike Satellite Inc.","1","False","True","","12/23/2011 12:00:00 AM"
"1606","NORTHW0001","Northwind Traders","1","True","True","www.northwindtraders.com/","1/25/2012 12:00:00 AM"
"1608","SPORTPL0001","Sport Playground","1","True","True","","2/2/2012 12:00:00 AM"
"1610","HYBRIDB0001","Hybrid Bicycle Center","1","True","True","","1/25/2012 12:00:00 AM"
"1612","MIDWEST0001","Midwest Sport, Inc.","1","True","True","","2/2/2012 12:00:00 AM"
"1614","RELIANCE0001","Reliance Fitness, Inc.","2","False","False","","2/2/2012 12:00:00 AM"
"1616","AURORAB0001","Aurora Bike Center","1","True","True","","5/9/2011 12:00:00 AM"
"1618","METROSP0001","Metro Sport Equipment","1","True","True","","1/29/2012 12:00:00 AM"
"1620","LAKEWOOD0001","Lakewood Bicycle","1","True","True","","1/29/2012 12:00:00 AM"
"1622","SPEEDCO0001","Speed Corporation","1","True","True","","2/2/2012 12:00:00 AM"
"1624","COMPETIT0001","Competition Bike Training Systems","1","True","True","","12/24/2011 12:00:00 AM"
"1626","HILLBIC0001","Hill Bicycle Center","1","True","True","","1/25/2012 12:00:00 AM"
"1628","BICYCLE0001","Bicycle Specialists","1","True","True","","12/23/2011 12:00:00 AM"
"1630","INDIANA0001","Indiana Bicycle Center","1","True","True","","2/2/2012 12:00:00 AM"
"1632","SPORTFA0001","Sport Fan Co.","1","True","True","","2/2/2012 12:00:00 AM"
"1634","GMASKI0001","GMA Ski & Bike","1","True","True","","5/9/2011 12:00:00 AM"
"1636","INTEGRAT0001","Integrated Sport Products","1","True","True","","1/17/2012 12:00:00 AM"
"1638","INLINEA0001","Inline Accessories","1","True","True","","1/25/2012 12:00:00 AM"
"1640","LEGENDC0001","Legend Cycles","1","True","True","","2/2/2012 12:00:00 AM"
"1642","ELECTRON0001","Electronic Bike Co.","1","True","True","","2/2/2012 12:00:00 AM"
"1644","INTERNAT0003","International Sport Assoc.","1","True","True","","1/25/2012 12:00:00 AM"
"1646","ELECTRON0002","Electronic Bike Repair & Supplies","1","True","True","","1/17/2012 12:00:00 AM"
"1648","WIDEWOR0001","Wide World Importers","2","True","True","www.wideworldimporters.com/","1/17/2012 12:00:00 AM"
"1650","AMERICAN0001","American Bicycles and Wheels","1","True","True","","4/25/2011 12:00:00 AM"
"1652","VICTORY0001","Victory Bikes","5","True","True","","2/18/2012 12:00:00 AM"
"1654","AMERICAN0002","American Bikes","1","True","True","","5/9/2011 12:00:00 AM"
"1656","MOUNTAIN0001","Mountain Works","1","False","True","","2/2/2012 12:00:00 AM"
"1658","CROWLEY0001","Crowley Sport","1","True","True","","12/24/2011 12:00:00 AM"
"1660","MAGICCY0001","Magic Cycles","1","True","True","","1/25/2012 12:00:00 AM"
"1662","NORTHERN0001","Northern Bike Travel","3","True","True","","2/2/2012 12:00:00 AM"
"1664","ANDERSON0001","Anderson's Custom Bikes","1","True","True","","5/9/2011 12:00:00 AM"
"1666","LEAFRIV0001","Leaf River Terrain","1","False","True","","1/29/2012 12:00:00 AM"
