"ProductID","Name","ProductNumber","MakeFlag","FinishedGoodsFlag","Color","SafetyStockLevel","ReorderPoint","StandardCost","ListPrice","Size","SizeUnitMeasureCode","WeightUnitMeasureCode","Weight","DaysToManufacture","ProductLine","Class","Style","ProductSubcategoryID","ProductModelID","SellStartDate","SellEndDate","DiscontinuedDate","rowguid","ModifiedDate"
"1","Adjustable Race","AR-5381","False","False","","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","694215b7-08f7-4c0d-acb1-d734ba44c0c8","2/8/2014 10:01:36 AM"
"2","Bearing Ball","BA-8327","False","False","","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","58ae3c20-4f3a-4749-a7d4-d568806cc537","2/8/2014 10:01:36 AM"
"3","BB Ball Bearing","BE-2349","True","False","","800","600","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","9c21aed2-5bfa-4f18-bcb8-f11638dc2e4e","2/8/2014 10:01:36 AM"
"4","Headset Ball Bearings","BE-2908","False","False","","800","600","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","ecfed6cb-51ff-49b5-b06c-7d8ac834db8b","2/8/2014 10:01:36 AM"
"316","Blade","BL-2036","True","False","","800","600","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","e73e9750-603b-4131-89f5-3dd15ed5ff80","2/8/2014 10:01:36 AM"
"317","LL Crankarm","CA-5965","False","False","Black","500","375","0.0000","0.0000","","","","","0","","L ","","","","4/30/2008 12:00:00 AM","","","3c9d10b7-a6b2-4774-9963-c19dcee72fea","2/8/2014 10:01:36 AM"
"318","ML Crankarm","CA-6738","False","False","Black","500","375","0.0000","0.0000","","","","","0","","M ","","","","4/30/2008 12:00:00 AM","","","eabb9a92-fa07-4eab-8955-f0517b4a4ca7","2/8/2014 10:01:36 AM"
"319","HL Crankarm","CA-7457","False","False","Black","500","375","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","7d3fd384-4f29-484b-86fa-4206e276fe58","2/8/2014 10:01:36 AM"
"320","Chainring Bolts","CB-2903","False","False","Silver","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","7be38e48-b7d6-4486-888e-f53c26735101","2/8/2014 10:01:36 AM"
"321","Chainring Nut","CN-6137","False","False","Silver","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","3314b1d7-ef69-4431-b6dd-dc75268bd5df","2/8/2014 10:01:36 AM"
"322","Chainring","CR-7833","False","False","Black","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","f0ac2c4d-1a1f-4e3c-b4d9-68aea0ec1ce4","2/8/2014 10:01:36 AM"
"323","Crown Race","CR-9981","False","False","","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","51a32ca6-65a1-4c31-af2b-d9e4f5d631d4","2/8/2014 10:01:36 AM"
"324","Chain Stays","CS-2812","True","False","","1000","750","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","fe0678ed-aef2-4c58-a450-8151cc24ddd8","2/8/2014 10:01:36 AM"
"325","Decal 1","DC-8732","False","False","","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","05ce123c-a402-478e-ae9b-75d7727aeaad","2/8/2014 10:01:36 AM"
"326","Decal 2","DC-9824","False","False","","1000","750","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","a56851f9-1cd7-4e2f-8779-2e773e1b5209","2/8/2014 10:01:36 AM"
"327","Down Tube","DT-2377","True","False","","800","600","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","1dad47dd-e259-42b8-b8b4-15a0b7d21b2f","2/8/2014 10:01:36 AM"
"328","Mountain End Caps","EC-M092","True","False","","1000","750","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","6070b1ea-59b7-4f8b-950f-2be07d00449d","2/8/2014 10:01:36 AM"
"329","Road End Caps","EC-R098","True","False","","1000","750","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","88399d13-719e-4545-81d6-f0650f372fa2","2/8/2014 10:01:36 AM"
"330","Touring End Caps","EC-T209","True","False","","1000","750","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","6903ce24-d0ce-4191-9198-4231de37a929","2/8/2014 10:01:36 AM"
"331","Fork End","FE-3760","True","False","","800","600","0.0000","0.0000","","","","","1","","","","","","4/30/2008 12:00:00 AM","","","c91d602e-da52-43d2-bd7e-eb110a9392b9","2/8/2014 10:01:36 AM"
"332","Freewheel","FH-2981","False","False","Silver","500","375","0.0000","0.0000","","","","","0","","","","","","4/30/2008 12:00:00 AM","","","d864879a-e8b1-4f7b-bafa-1f136089c2c8","2/8/2014 10:01:36 AM"
