SalesOrderID,SalesOrderDetailID,SalesOrderNumber,PurchaseOrderNumber,OrderDate,DueDate,ShipDate,OrderStatus,OnlineOrderFlag,CustomerID,CustomerDisplayName,CustomerAccountNumber,ShipMethodName,CarrierTrackingNumber,City,StateProvinceCode,StateProvinceName,CountryRegionCode,CountryRegionName,PostalCode,TerritoryName,TerritoryGroup,ProductID,ProductName,ProductNumber,ProductCategoryName,ProductSubcategoryName,Color,Size,Weight,ProductLine,Class,Style,OrderQty,UnitPrice,UnitPriceDiscount,LineTotal,StandardCost,ListPrice,SubTotal,TaxAmt,Freight,TotalDue,CardType
43659,1,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,776,"Mountain-100 Black, 42",BK-M82B-42,Bikes,Mountain Bikes,Black,42,20.77,M ,H ,U ,1,2024.994,0,2024.994,1898.0944,3374.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,2,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,777,"Mountain-100 Black, 44",BK-M82B-44,Bikes,Mountain Bikes,Black,44,21.13,M ,H ,U ,3,2024.994,0,6074.982,1898.0944,3374.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,3,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,778,"Mountain-100 Black, 48",BK-M82B-48,Bikes,Mountain Bikes,Black,48,21.42,M ,H ,U ,1,2024.994,0,2024.994,1898.0944,3374.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,4,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,771,"Mountain-100 Silver, 38",BK-M82S-38,Bikes,Mountain Bikes,Silver,38,20.35,M ,H ,U ,1,2039.994,0,2039.994,1912.1544,3399.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,5,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00, ,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,772,"Mountain-100 Silver, 42",BK-M82S-42,Bikes,Mountain Bikes,Silver,42,20.77,M ,H ,U ,1,2039.994,0,2039.994,1912.1544,3399.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,6,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,773,"Mountain-100 Silver, 44",BK-M82S-44,Bikes,Mountain Bikes,Silver,44,21.13,M ,H ,U ,2,2039.994,0,4079.988,1912.1544,3399.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,7,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,774,"Mountain-100 Silver, 48",BK-M82S-48,Bikes,Mountain Bikes,Silver,48,21.42,M ,H ,U ,1,2039.994,0,2039.994,1912.1544,3399.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,8,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Clothing,Jerseys,Multi,M,,S ,,U ,3,28.8404,0,86.5212,38.4923,49.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,9,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Clothing,Jerseys,Multi,XL,,S ,,U ,1,28.8404,0,28.8404,38.4923,49.99,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
43659,10,SO43659,PO522145787,5/31/2011 0:00,6/12/2011 0:00,6/7/2011 0:00,Shipped,FALSE,29825,Better Bike Shop,AW00029825,CARGO TRANSPORT 5,4911-403C-98,Austell,GA ,Georgia,US,United States,30106,Southeast,North America,709,"Mountain Bike Socks, M",SO-B909-M,Clothing,Socks,White,M,,M ,,U ,6,5.7,0,34.2,3.3963,9.5,20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice
